stripchat,#genre#
-o-Sundae,https://b-hls-09.doppiocdn.live/hls/97037868/97037868.m3u8?playlistType=lowLatency
-o-Sundae,https://b-hls-09.doppiocdn.com/hls/97037868/97037868_720p.m3u8?playlistType=lowLatency&_HLS_msn=365&_HLS_part=2
-o-Sundae,https://b-hls-09.doppiocdn.com/hls/97037868/97037868_480p.m3u8?playlistType=lowLatency&_HLS_msn=365&_HLS_part=2
-o-Sundae,https://b-hls-09.doppiocdn.com/hls/97037868/97037868_240p.m3u8?playlistType=lowLatency&_HLS_msn=365&_HLS_part=2


Ananna-168,https://edge-hls.doppiocdn.net/hls/145201306/master/145201306_auto.m3u8?playlistType=lowLatency
Ananna-168,https://b-hls-20.doppiocdn.net/hls/145201306/145201306.m3u8?playlistType=lowLatency
Ananna-168,https://b-hls-20.doppiocdn.net/hls/145201306/145201306_720p.m3u8?playlistType=lowLatency&_HLS_msn=579&_HLS_part=3
Ananna-168,https://b-hls-20.doppiocdn.net/hls/145201306/145201306_480p.m3u8?playlistType=lowLatency&_HLS_msn=579&_HLS_part=3
Ananna-168,https://b-hls-20.doppiocdn.net/hls/145201306/145201306_240p.m3u8?playlistType=lowLatency&_HLS_msn=579&_HLS_part=3

Shelley_170,https://edge-hls.doppiocdn.net/hls/140379737/master/140379737_auto.m3u8?playlistType=lowLatency
Shelley_170,https://b-hls-02.doppiocdn.net/hls/140379737/140379737.m3u8?playlistType=lowLatency
Shelley_170,https://b-hls-02.doppiocdn.net/hls/140379737/140379737_720p.m3u8?playlistType=lowLatency
Shelley_170,https://b-hls-02.doppiocdn.net/hls/140379737/140379737_480p.m3u8?playlistType=lowLatency
Shelley_170,https://b-hls-02.doppiocdn.net/hls/140379737/140379737_240p.m3u8?playlistType=lowLatency
Shelley_170,https://b-hls-02.doppiocdn.net/hls/140379737/140379737_160p.m3u8?playlistType=lowLatency

Rosin-03,https://edge-hls.doppiocdn.net/hls/150488732/master/150488732_auto.m3u8?playlistType=lowLatency
Rosin-03,https://b-hls-02.doppiocdn.net/hls/150488732/150488732.m3u8?playlistType=lowLatency
Rosin-03,https://b-hls-02.doppiocdn.net/hls/150488732/150488732_720p.m3u8?playlistType=lowLatency
Rosin-03,https://b-hls-02.doppiocdn.net/hls/150488732/150488732_480p.m3u8?playlistType=lowLatency
Rosin-03,https://b-hls-02.doppiocdn.net/hls/150488732/150488732_240p.m3u8?playlistType=lowLatency
Rosin-03,https://b-hls-02.doppiocdn.net/hls/150488732/150488732_160p.m3u8?playlistType=lowLatency



Stars-Aa,https://edge-hls.doppiocdn.net/hls/147532735/master/147532735_auto.m3u8?playlistType=lowLatency
Stars-Aa,https://b-hls-02.doppiocdn.net/hls/147532735/147532735.m3u8?playlistType=lowLatency
Stars-Aa,https://b-hls-02.doppiocdn.net/hls/147532735/147532735_720p.m3u8?playlistType=lowLatency
Stars-Aa,https://b-hls-02.doppiocdn.net/hls/147532735/147532735_480p.m3u8?playlistType=lowLatency
Stars-Aa,https://b-hls-02.doppiocdn.net/hls/147532735/147532735_240p.m3u8?playlistType=lowLatency
Stars-Aa,https://b-hls-02.doppiocdn.net/hls/147532735/147532735_160p.m3u8?playlistType=lowLatency



sheri-cc,https://edge-hls.doppiocdn.net/hls/90409842/master/90409842_auto.m3u8?playlistType=lowLatency
sheri-cc,https://b-hls-02.doppiocdn.net/hls/90409842/90409842.m3u8?playlistType=lowLatency
sheri-cc,https://b-hls-02.doppiocdn.net/hls/90409842/90409842_720p.m3u8?playlistType=lowLatency
sheri-cc,https://b-hls-02.doppiocdn.net/hls/90409842/90409842_480p.m3u8?playlistType=lowLatency
sheri-cc,https://b-hls-02.doppiocdn.net/hls/90409842/90409842_240p.m3u8?playlistType=lowLatency
sheri-cc,https://b-hls-02.doppiocdn.net/hls/90409842/90409842_160p.m3u8?playlistType=lowLatency
