id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
34,2024-02-01 14:31:22.161255,1,2024-03-29 11:06:03.291028,1,0,drpy2.min,t4/files/drpy_libs,t4/files/drpy_libs/drpy2.min.js,True,34,.js,,1,0,0,0,True
35,2024-02-01 14:31:22.164177,1,2024-03-29 11:06:03.294314,1,0,drT,t4/files/drpy_libs,t4/files/drpy_libs/drT.js,True,35,.js,,1,0,0,0,True
37,2024-02-01 14:31:22.171107,1,2024-03-29 11:06:03.300994,1,0,exRegExp,t4/files/drpy_libs,t4/files/drpy_libs/exRegExp.js,True,37,.js,,1,0,0,0,True
38,2024-02-01 14:31:22.174162,1,2024-03-29 11:06:03.306002,1,0,gbk,t4/files/drpy_libs,t4/files/drpy_libs/gbk.js,True,38,.js,,1,0,0,0,True
39,2024-02-01 14:31:22.177056,1,2024-03-29 11:06:03.310270,1,0,live2cms,t4/files/drpy_libs,t4/files/drpy_libs/live2cms.js,True,39,.js,,1,0,0,0,True
40,2024-02-01 14:31:22.179776,1,2024-03-29 11:06:03.313598,1,0,mod,t4/files/drpy_libs,t4/files/drpy_libs/mod.js,True,40,.js,,1,0,0,0,True
41,2024-02-01 14:31:22.183051,1,2024-03-29 11:06:03.321412,1,0,rsa,t4/files/drpy_libs,t4/files/drpy_libs/rsa.js,True,41,.js,,1,0,0,0,True
42,2024-02-01 14:31:22.187826,1,2024-03-29 11:06:03.325681,1,0,searchFilter,t4/files/drpy_libs,t4/files/drpy_libs/searchFilter.js,True,42,.js,,1,0,0,0,True
43,2024-02-01 14:31:22.191456,1,2024-03-29 11:06:03.329155,1,0,sortName,t4/files/drpy_libs,t4/files/drpy_libs/sortName.js,True,43,.js,,1,0,0,0,True
44,2024-02-01 14:31:22.194524,1,2024-03-29 11:06:03.332656,1,0,模板,t4/files/drpy_libs,t4/files/drpy_libs/模板.js,True,44,.js,,1,0,0,0,True
45,2024-02-01 14:31:22.197684,1,2024-03-29 11:06:03.337479,1,0,alist,t4/files/json,t4/files/json/alist.json,True,45,.json,,1,0,0,0,True
49,2024-02-01 14:31:22.214129,1,2024-03-29 11:06:03.367702,1,0,douyu,t4/files/txt,t4/files/txt/douyu.txt,True,49,.txt,,1,0,0,0,True
